login_scene_user_name,Introduce your username
login_scene_user_password,Introduce your password
login_scene_log_in,Log in
login_scene_register,Register
register_scene_name,Introduce your name
register_scene_mail,Introduce your mail
register_scene_password,Introduce yor password
register_scene_description,Introduce your description
register_scene_button,Log in
FAQ_scene_name,Questions more frecuently
FAQ_scene_profile_coincidences,Profile and coincidences
FAQ_scene_application_management,Application managment
FAQ_scene_security_privacy,Security and privacy
FAQ_scene_interaction_comunication,Interaction and comunication
FAQ_scene_help_support,Help and support
pop_up_profile_1q,"How are matches generated?"
pop_up_profile_1a,"They are generated by proximity that is the people who appear when you match are people close to you."
pop_up_profile_2q,Can I search for specific profiles?
pop_up_profile_2a,"No you cannot search for specific profiles."
pop_up_profile_3q,Are there filters to customize search preferences?
pop_up_profile_3a,"Yes you can add filters to the search such as age etc."
pop_up_profile_4q,How are profiles updated or modified?
pop_up_profile_4a,"In the profile section within the main screen you can modify the profile characteristics."
pop_up_profile_5q,Is there a feature to highlight common interests?
pop_up_profile_5a,"There are interests between people but it is not possible to highlight them."
pop_up_support_1q,What is the customer support process?
pop_up_support_1a,You can contact us by email.
pop_up_support_2q,Is there a helpline or live chat?
pop_up_support_2a,At the moment it is not implemented.
pop_up_support_3q,What resources are available to resolve technical issues?
pop_up_support_3a,By email we solve any problems you may have.
pop_up_support_4q,Does the app offer any profile creation assistance?
pop_up_support_4a,The application guide specifies how to create a user.
pop_up_support_5q,Are there events or social activities organized through the app?
pop_up_support_5a,The application is not responsible for events between people.
pop_up_interaction_1q,How do I start conversations with other users?
pop_up_interaction_1a,"Once the two people have ""matched"" on the chat screen, said person will appear so you can talk."
pop_up_interaction_2q,Are there secure communication tools?
pop_up_interaction_2a,All communication between people is encrypted.
pop_up_interaction_3q,Can inappropriate profiles be blocked or reported?
pop_up_interaction_3a,"Yes inappropriate profiles can be blocked."
pop_up_interaction_4q,Are there options for privacy in conversations?
pop_up_interaction_4a,"No privacy is our priority and all conversations are encrypted."
pop_up_interaction_5q,Does the app offer tips or advice to break the ice?
pop_up_interaction_5a,"You're going to have to manage, kid."
pop_up_security_1q,How is the security of personal information guaranteed?
pop_up_security_1a,All chat and personal information is encrypted.
pop_up_security_2q,What security measures are in place to avoid fake profiles or fraud?
pop_up_security_2a,"They can be reported and immediately when we review it the account will be deleted."
pop_up_security_3q,Can I control who can see my profile?
pop_up_security_3a,"No that information cannot be consulted."
pop_up_security_4q,Is there a security filter to protect older users?
pop_up_security_4a,"Security is the same for everyone meaning there is no problem."
pop_up_security_5q,How is sensitive data handled in the application?
pop_up_security_5a,"If we detect information that should not belong to the application, it will be deleted."
pop_up_management_1q,How does the application work?
pop_up_management_1a,"Using the different sections of it such as chatting with people, etc."
pop_up_management_2q,What is the registration process?
pop_up_management_2a,"Entering full name email password and age."
pop_up_management_3q,How are profiles created and personalized?
pop_up_management_3a,When you log out you can create another profile again or log in with an existing one.
pop_up_management_4q,What features and tools does the app offer?
pop_up_management_4a,"You can create a profile, search for people to find love with chat with them modify your profile etc."
pop_up_management_5q,Is there a tutorial or user guide available?
pop_up_management_5a,"No at the moment there is no user tutorial available."
message_scene_placeholder,Enter the message
pop_up_settings_user_manual,User manual
pop_up_settings_privacy_policy,Privacy Policy
pop_up_settings_FAQ,FAQ
pop_up_settings,Log out
